epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.1952,3.18385,4.37603,1.74132,0.28228,0.33019,0.26393,0.08655,2.57686,2.66018,1.22955,6.668e-05,6.668e-05,6.668e-05
2,153.631,2.23864,2.29971,1.28486,0.32763,0.38323,0.32431,0.08626,2.73206,7.37826,1.42841,0.000149993,0.000149993,0.000149993
3,231.087,1.71451,1.05125,1.07841,0.81412,0.53956,0.65965,0.18114,2.74702,4.42143,1.52173,0.000233152,0.000233152,0.000233152
4,310.08,1.59779,0.7798,1.043,0.72668,0.36913,0.57631,0.14516,2.80808,8.23502,1.54359,0.000316034,0.000316034,0.000316034
5,387.931,1.45403,0.69832,1.00521,0.75824,0.53689,0.64352,0.16944,2.86429,5.96962,1.61746,0.000398518,0.000398518,0.000398518
6,465.022,1.43884,0.66548,0.99106,0.67515,0.41996,0.48794,0.11218,3.08435,9.84628,1.72869,0.000480484,0.000480484,0.000480484
7,543.087,1.37271,0.64739,0.97945,0.79309,0.55143,0.63653,0.16307,2.89153,5.0612,1.5374,0.000561811,0.000561811,0.000561811
8,620.656,1.27381,0.62524,0.94979,0.78218,0.53537,0.61286,0.16369,2.82999,4.25912,1.52062,0.00064238,0.00064238,0.00064238
9,697.341,1.19967,0.57811,0.92728,0.55603,0.36788,0.38462,0.0824,3.34008,4.28613,1.84172,0.000722073,0.000722073,0.000722073
10,774.294,1.13755,0.54356,0.91716,0.54891,0.41352,0.39818,0.08405,3.36924,3.66999,1.8363,0.000800776,0.000800776,0.000800776
11,849.639,1.07555,0.52533,0.90315,0.41595,0.3374,0.30442,0.05882,3.73612,2.82132,2.13035,0.000878371,0.000878371,0.000878371
12,925.348,1.03684,0.50514,0.89715,0.38431,0.32583,0.28543,0.05241,3.81621,2.74924,2.04306,0.000954748,0.000954748,0.000954748
13,1001.13,1.01448,0.49629,0.8908,0.70701,0.59492,0.61606,0.14284,3.21869,1.86344,1.71631,0.00102979,0.00102979,0.00102979
14,1076.89,1.03676,0.49869,0.88982,0.35356,0.3033,0.24057,0.04161,3.85861,2.33418,2.29122,0.0011034,0.0011034,0.0011034
15,1154.04,0.96873,0.48503,0.88101,0.73083,0.61182,0.61334,0.1345,3.21448,1.62366,1.69679,0.00117547,0.00117547,0.00117547
16,1231.26,0.94396,0.47549,0.88014,0.81821,0.65846,0.69238,0.17199,2.98214,1.43816,1.60487,0.00124588,0.00124588,0.00124588
17,1308.07,1.00514,0.48937,0.88407,0.55043,0.45625,0.41255,0.08124,3.39918,1.79473,1.87252,0.00131454,0.00131454,0.00131454
18,1386.04,1.02867,0.53395,0.88211,0.71679,0.58757,0.57655,0.13664,3.14288,1.4249,1.77811,0.00138136,0.00138136,0.00138136
19,1464.4,1.07008,0.50068,0.89551,0.6664,0.54278,0.52115,0.10944,3.24453,1.68781,1.80686,0.00144623,0.00144623,0.00144623
20,1542.3,1.14787,0.53416,0.91914,0.52573,0.42275,0.38142,0.07952,3.48145,1.83301,2.01406,0.00150907,0.00150907,0.00150907
21,1619.49,1.05818,0.51108,0.90143,0.77869,0.63491,0.64224,0.16279,2.9602,1.31121,1.71861,0.00150941,0.00150941,0.00150941
22,1695.41,0.95176,0.49956,0.87964,0.32401,0.24389,0.20673,0.03674,3.85768,2.07775,2.41615,0.00149384,0.00149384,0.00149384
23,1770.65,0.97272,0.493,0.88325,0.59629,0.47219,0.45603,0.09376,3.41577,1.76464,2.02217,0.00147764,0.00147764,0.00147764
24,1843.58,0.83417,0.46659,0.85581,0.47496,0.38676,0.33929,0.06811,3.54369,1.98718,2.11291,0.0014608,0.0014608,0.0014608
25,1919.47,0.80052,0.44296,0.84952,0.61113,0.49966,0.46914,0.0997,3.3579,1.72725,1.91012,0.00144335,0.00144335,0.00144335
26,1994.35,0.8165,0.44916,0.84962,0.6237,0.50351,0.48431,0.10592,3.32836,1.81933,1.92955,0.00142531,0.00142531,0.00142531
27,2068.09,0.81871,0.44215,0.84904,0.58639,0.4781,0.43781,0.09464,3.36477,2.03005,1.91259,0.0014067,0.0014067,0.0014067
28,2140.24,0.83204,0.4437,0.85462,0.67136,0.55192,0.52862,0.12181,3.27748,1.54847,1.89908,0.00138753,0.00138753,0.00138753
29,2214.14,0.78483,0.43424,0.84575,0.63549,0.52203,0.49001,0.10512,3.43222,1.65456,2.02257,0.00136781,0.00136781,0.00136781
30,2289.31,0.82808,0.43733,0.84914,0.70484,0.58314,0.56555,0.12821,3.25272,1.62351,1.81489,0.00134758,0.00134758,0.00134758
31,2363.89,0.73019,0.40386,0.83684,0.67091,0.552,0.52981,0.11386,3.35649,1.76633,1.93991,0.00132685,0.00132685,0.00132685
